sport,player_key,player,canonical_market,event_id,event_time,team,opponent,market_median,market_low,market_high,book_count,book_agreement_pct,line_dispersion,over_price_median,under_price_median,pp_line,pp_gap,l3,l5,l10,l20,season,streak,recent_avg,season_avg,h2h,hulk_prop_score,market_direction,price_pressure_score,coverage_grade,signal
MLB,andrew knizner,Andrew Knizner,rbis,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,210.0,-312.5,,,,,,,,,,,,44.4,UNDER,40.3,LOW,PASS
MLB,andrew knizner,Andrew Knizner,runs,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,175.0,-250.0,,,,,,,,,,,,42.4,UNDER,32.5,LOW,PASS
MLB,andrew knizner,Andrew Knizner,total_bases,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-128.5,-105.0,,,,,,,,,,,,35.5,OVER,4.7,LOW,PASS
MLB,angel genao,Angel Genao,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,525.0,-850.0,,,,,,,,,,,,53.8,UNDER,69.7,USABLE,WATCH
MLB,angel genao,Angel Genao,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.0,0.5,1.5,2,100.0,0.5,-43.0,-7.5,,,,,,,,,,,,49.9,OVER,62.3,LOW,PASS
MLB,angel genao,Angel Genao,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,2.5,2.5,2.5,1,100.0,0.0,-125.0,-120.0,,,,,,,,,,,,32.4,OVER,0.9,LOW,PASS
MLB,angel genao,Angel Genao,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,2220.0,-17330.0,,,,,,,,,,,,59.4,UNDER,91.7,USABLE,WATCH
MLB,angel genao,Angel Genao,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,0.5,1.5,3,66.7,0.471,345.0,-446.5,,,,,,,,,,,,44.0,UNDER,56.9,USABLE,WATCH
MLB,angel genao,Angel Genao,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,305.0,-520.0,,,,,,,,,,,,50.1,UNDER,54.5,USABLE,WATCH
MLB,angel genao,Angel Genao,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,145.0,-215.0,0.5,-1.0,,,,,,,,,,68.4,UNDER,25.2,LOW,PASS
MLB,angel genao,Angel Genao,stolen_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,1200.0,-4550.0,,,,,,,,,,,,55.6,UNDER,85.4,LOW,PASS
MLB,angel genao,Angel Genao,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,3,100.0,0.0,109.0,-160.0,,,,,,,,,,,,39.6,UNDER,12.5,USABLE,WATCH
MLB,angel genao,Angel Genao,triples,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,1800.0,-15000.0,,,,,,,,,,,,54.6,UNDER,89.9,LOW,PASS
MLB,angel genao,Angel Genao,walks,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,360.0,-655.0,,,,,,,,,,,,47.1,UNDER,59.9,LOW,PASS
MLB,austin hedges,Austin Hedges,doubles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,650.0,-1300.0,,,,,,,,,,,,55.2,UNDER,74.9,USABLE,WATCH
MLB,austin hedges,Austin Hedges,hits,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,5.0,-135.0,0.5,0.0,,,,,,,,,,44.8,OVER,24.8,USABLE,WATCH
MLB,austin hedges,Austin Hedges,hits_runs_rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-132.5,-12.5,,,,,,,,,,,,51.1,OVER,67.4,LOW,PASS
MLB,austin hedges,Austin Hedges,home_runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,1420.0,-3000.0,,,,,,,,,,,,60.4,UNDER,87.3,USABLE,WATCH
MLB,austin hedges,Austin Hedges,rbis,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,4,100.0,0.0,392.5,-737.5,,,,,,,,,,,,54.2,UNDER,62.5,USABLE,WATCH
MLB,austin hedges,Austin Hedges,runs,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,450.0,-410.0,,,,,,,,,,,,52.2,UNDER,63.1,USABLE,WATCH
MLB,austin hedges,Austin Hedges,singles,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,0.5,1,100.0,0.0,165.0,-255.0,,,,,,,,,,,,39.9,UNDER,31.1,LOW,PASS
MLB,austin hedges,Austin Hedges,total_bases,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,0.5,0.5,1.5,3,66.7,0.471,115.0,-170.0,0.5,0.0,,,,,,,,,,33.5,UNDER,15.0,USABLE,WATCH
MLB,austin hedges,Austin Hedges,walks,3ffba29c7cccfbdb0cb05ee26cd7d550,2026-09-03T17:10:00Z,,,1.5,1.5,1.5,1,100.0,0.0,310.0,-535.0,,,,,,,,,,,,45.9,UNDER,55.1,LOW,PASS
MLB,blade tidwell,Blade Tidwell,pitcher_strikeouts,4b25e965b62d7c19e2aa8fbfff667da3,2026-09-03T16:35:00Z,,,4.5,4.5,4.5,4,100.0,0.0,-1.0,-134.5,4.0,-0.5,,,,,,,,,,79.4,UNDER,96.6,USABLE,LEAN
MLB,blaze alexander,Blaze Alexander,doubles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,5,100.0,0.0,360.0,-600.0,,,,,,,,,,,,55.6,UNDER,59.5,GOOD,WATCH
MLB,blaze alexander,Blaze Alexander,hits,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,1.5,6,83.3,0.373,-219.0,150.0,,,,,,,,,,,,46.1,OVER,26.4,GOOD,WATCH
MLB,blaze alexander,Blaze Alexander,hits_runs_rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,4,100.0,0.0,-116.5,-123.0,1.5,0.0,,,,,,,,,,38.9,UNDER,1.2,USABLE,WATCH
MLB,blaze alexander,Blaze Alexander,home_runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,4,100.0,0.0,900.0,-1800.0,,,,,,,,,,,,58.8,UNDER,80.9,USABLE,WATCH
MLB,blaze alexander,Blaze Alexander,pitcher_strikeouts,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,-217.5,165.0,,,,,,,,,,,,41.5,OVER,29.0,LOW,PASS
MLB,blaze alexander,Blaze Alexander,rbis,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,7,100.0,0.0,250.0,-367.5,,,,,,,,,,,,56.7,UNDER,46.7,STRONG,WATCH
MLB,blaze alexander,Blaze Alexander,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,4,100.0,0.0,122.5,-184.0,,,,,,,,,,,,43.1,UNDER,18.1,USABLE,WATCH
MLB,blaze alexander,Blaze Alexander,singles,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,-130.0,-103.0,0.5,0.0,,,,,,,,,,37.8,OVER,5.4,USABLE,WATCH
MLB,blaze alexander,Blaze Alexander,stolen_bases,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,7,100.0,0.0,800.0,-1840.0,,,,,,,,,,,,64.8,UNDER,79.0,STRONG,WATCH
MLB,blaze alexander,Blaze Alexander,total_bases,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,1.5,1.5,1.5,7,100.0,0.0,136.0,-192.0,,,,,,,,,,,,50.4,UNDER,21.6,STRONG,WATCH
MLB,blaze alexander,Blaze Alexander,triples,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,3,100.0,0.0,2600.0,,,,,,,,,,,,,48.9,NEUTRAL,50.0,USABLE,WATCH
MLB,blaze alexander,Blaze Alexander,walks,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,2,100.0,0.0,299.0,-514.5,,,,,,,,,,,,47.8,UNDER,53.9,LOW,PASS
MLB,blaze alexander runs,Blaze Alexander - Runs,runs,87e824da83d83bcea518867ca5c3d75f,2026-09-03T23:15:00Z,,,0.5,0.5,0.5,1,100.0,0.0,115.0,-155.0,,,,,,,,,,,,35.5,UNDER,13.3,LOW,PASS
MLB,bobby witt,Bobby Witt,hits,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-335.0,215.0,,,,,,,,,,,,42.5,OVER,41.6,LOW,PASS
MLB,bobby witt,Bobby Witt,rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,133.0,-186.0,,,,,,,,,,,,37.3,UNDER,20.5,LOW,PASS
MLB,bobby witt,Bobby Witt,total_bases,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,100.0,-139.0,,,,,,,,,,,,34.0,UNDER,7.5,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,hits,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,182.0,,,,,,,,,,,,,44.6,NEUTRAL,50.0,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,hits_runs_rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,-153.0,130.0,,,,,,,,,,,,36.2,OVER,16.3,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,home_runs,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,401.0,-670.0,,,,,,,,,,,,47.8,UNDER,62.7,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,rbis,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,1.5,1.5,1.5,1,100.0,0.0,506.0,,,,,,,,,,,,,44.6,NEUTRAL,50.0,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,runs,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,0.5,0.5,0.5,1,100.0,0.0,-115.0,113.0,0.5,0.0,,,,,,,,,,33.8,OVER,6.5,LOW,PASS
MLB,bobby witt jr,Bobby Witt Jr.,total_bases,18307ff6045b1448e7ad3a1f2d836c6a,2026-09-03T23:40:00Z,,,2.5,2.5,2.5,1,100.0,0.0,194.0,,1.5,-1.0,,,,,,,,,,74.6,NEUTRAL,50.0,LOW,PASS
MLB,braden montgomery,Braden Montgomery,doubles,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,2,100.0,0.0,500.0,-800.0,,,,,,,,,,,,51.4,UNDER,68.4,LOW,PASS
MLB,braden montgomery,Braden Montgomery,hits,4531806102eb01c9886a2ceb2b16b0b9,2026-09-03T18:10:00Z,,,0.5,0.5,0.5,3,100.0,0.0,-205.0,137.5,,,,,,,,,,,,42.2,OVER,23.0,USABLE,WATCH
