player,name_key,team,position,sleeper_id,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp
Corey Coleman,corey coleman,,WR,3177,653.4,413.2,
Josh Doctson,josh doctson,,WR,3178,373.6,,
Derrick Henry,derrick henry,BAL,RB,3198,19.0,15.2,7.4
Michael Thomas,michael thomas,,WR,3199,688.3,675.3,
Sterling Shepard,sterling shepard,,WR,3200,507.0,580.3,
Austin Hooper,austin hooper,ATL,TE,3202,430.0,629.7,
C.J. Prosise,c j prosise,,RB,3204,684.0,,
Cody Kessler,cody kessler,,QB,3205,501.0,,
Kenneth Dixon,kenneth dixon,,RB,3208,348.5,,
Devontae Booker,devontae booker,,RB,3209,303.2,,
Paul Perkins,paul perkins,,RB,3211,458.0,,
Hunter Henry,hunter henry,NE,TE,3214,141.0,148.5,91.9
Tyler Boyd,tyler boyd,,WR,3225,605.0,648.0,
Kenyan Drake,kenyan drake,,RB,3242,512.5,658.3,
Jacoby Brissett,jacoby brissett,ARI,QB,3257,243.0,251.2,203.4
Nick Vannett,nick vannett,BAL,TE,3258,666.0,,
Tyler Higbee,tyler higbee,LAR,TE,3271,,651.9,
Tyler Ervin,tyler ervin,,RB,3280,632.0,,
Demarcus Robinson,demarcus robinson,SF,WR,3286,,679.0,
Dak Prescott,dak prescott,DAL,QB,3294,77.8,86.1,97.7
Tajae Sharpe,tajae sharpe,,WR,3297,271.0,,
DeAndre Washington,deandre washington,,RB,3300,666.0,,
Jordan Howard,jordan howard,,RB,3306,,536.0,
Wendell Smallwood,wendell smallwood,WAS,RB,3309,,352.0,
Philip Rivers,philip rivers,,QB,331,,688.3,
Jonathan Williams,jonathan williams,,RB,3312,629.2,,
Kevin Hogan,kevin hogan,,QB,3318,643.8,,
Trevor Davis,trevor davis,,WR,3319,327.5,,
Tyreek Hill,tyreek hill,,WR,3321,226.2,232.9,145.9
Rashard Higgins,rashard higgins,,WR,3328,678.6,,
Ryan Fitzpatrick,ryan fitzpatrick,,QB,333,682.4,666.0,
Temarrick Hemingway,temarrick hemingway,WAS,TE,3333,472.0,,
Moritz Bohringer,moritz bohringer,,TE,3336,473.0,650.7,
Jerell Adams,jerell adams,,TE,3340,657.5,624.0,
Nate Sudfeld,nate sudfeld,,QB,3343,698.5,682.5,
Jake Rudock,jake rudock,,QB,3347,637.2,,
Brandon Allen,brandon allen,,QB,3357,,623.3,
Jeff Driskel,jeff driskel,,QB,3362,459.0,605.3,
Devin Lucien,devin lucien,,WR,3380,502.5,,
Dwayne Washington,dwayne washington,,RB,3391,629.5,,
Kenny Lawler,kenny lawler,,WR,3398,660.2,,
Jake Coker,jake coker,,QB,3410,670.0,627.5,
Devon Johnson,devon johnson,,RB,3412,691.4,,
Mekale McKay,mekale mckay,,WR,3418,286.8,,
Robbie Chosen,robbie chosen,,WR,3423,,698.0,
Alex Erickson,alex erickson,,WR,3433,629.3,,
Julian Edelman,julian edelman,,WR,344,,698.8,
Cayleb Jones,cayleb jones,,WR,3447,,505.2,
Brian Hoyer,brian hoyer,,QB,345,682.6,604.0,
Josh Ferguson,josh ferguson,,RB,3453,652.6,,
Danny Anthrop,danny anthrop,,WR,3454,,544.9,
Joel Stave,joel stave,,QB,3456,674.5,663.0,
Jared Dangerfield,jared dangerfield,,WR,3462,649.0,,
Ben Braunecker,ben braunecker,,TE,3465,409.6,,
Keyarris Garrett,keyarris garrett,,WR,3475,,471.1,
Chris Brown,chris brown,,WR,3486,686.7,628.9,
D.J. Foster,d j foster,,RB,3488,247.0,,
Mike Bercovici,mike bercovici,,QB,3495,615.8,,
Stephen Anderson,stephen anderson,,TE,3496,395.2,,
Darion Griswold,darion griswold,,TE,3497,,238.0,
Geronimo Allison,geronimo allison,,WR,3503,695.0,,
Steven Scheu,steven scheu,,TE,3504,695.2,,
Jake McGee,jake mcgee,,TE,3514,667.3,,
K.J. Maye,k j maye,,WR,3515,666.0,,
Mitch Mathews,mitch mathews,,WR,3516,409.5,,
Jay Lee,jay lee,,WR,3520,626.5,,
Marquise Williams,marquise williams,,QB,3524,641.3,,
Marshaun Coprich,marshaun coprich,,RB,3531,660.5,,
Jamaal Jones,jamaal jones,,WR,3540,343.0,,
Jamal Robinson,jamal robinson,,WR,3548,633.0,,
Max Wittek,max wittek,,QB,3551,397.0,,
Bryce Williams,bryce williams,,TE,3561,635.6,,
Brandon Ross,brandon ross,,RB,3570,683.5,,
Chester Rogers,chester rogers,,WR,3582,503.0,,
Peyton Barber,peyton barber,,RB,3594,,449.7,
Tommylee Lewis,tommylee lewis,,WR,3614,538.9,395.0,
Sione Houma,sione houma,,RB,3615,521.0,389.0,
Jordan Williams-Lambert,jordan williams lambert,,WR,3621,250.0,,
Durron Neal,durron neal,,WR,3630,659.3,,
Kalif Raymond,kalif raymond,CHI,WR,3634,,645.2,
Quayvon Hicks,quayvon hicks,,RB,3646,594.5,,
Matt Weiser,matt weiser,,TE,3648,613.5,,
Mike Thomas,mike thomas,,WR,3652,655.5,,
Reggie Diggs,reggie diggs,,WR,3655,653.0,,
Valdez Showers,valdez showers,,WR,3660,683.9,,
J.D. McKissic,j d mckissic,,RB,3664,658.0,670.1,
Joshua Perkins,joshua perkins,NYJ,TE,3668,,320.5,
Jared Cook,jared cook,,TE,367,654.2,639.1,
Tra Carson,tra carson,,RB,3688,377.3,,
Tevin Jones,tevin jones,,WR,3730,258.0,,
Brandon Shippen,brandon shippen,,WR,3762,674.5,,
Quenton Bundrage,quenton bundrage,,WR,3770,310.0,,
Jason Vander Laan,jason vander laan,,TE,3774,565.0,,
Alstevis Squirewell,alstevis squirewell,,RB,3811,,545.0,
