cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
D. Kincaid  TE  BUF  Dalton Kincaid  TE  BUF,118.0,117.84,79/156,92.3
M. Andrews  TE  BAL  Mark Andrews  TE  BAL,119.0,118.23,80/158,93.0
B. Nix  QB  DEN  Bo Nix  QB  DEN,120.0,118.98,67/155,91.2
A. Jones  RB  MIN  Vikings' Aaron Jones: Listed as co-starter with Mason  Aaron Jones  RB  MIN  Vikings' Aaron Jones: Listed as co-starter with Mason,121.0,119.13,88/156,91.8
J. Downs  WR  IND  Calf: Questionable for Week 1 vs. Baltimore  Josh Downs  WR  IND  Calf: Questionable for Week 1 vs. Baltimore,122.0,119.8,87/158,87.2
J. Ferguson  TE  DAL  Cowboys' Jake Ferguson: Doesn't play in preseason  Jake Ferguson  TE  DAL  Cowboys' Jake Ferguson: Doesn't play in preseason,123.0,123.17,82/162,89.2
M. Washington Jr.  RB  LV  Mike Washington Jr.  RB  LV,124.0,123.27,90/168,83.2
J. Myers  K  SEA  Jason Myers  K  SEA,125.0,123.98,79/166,91.9
J. Reed  WR  GB  Jayden Reed  WR  GB,126.0,124.83,90/165,84.3
R. White  RB  WAS  Hamstring: Questionable for Week 1 at Philadelphia  Rachaad White  RB  WAS  Hamstring: Questionable for Week 1 at Philadelphia,127.0,126.14,98/164,85.1
D. Samuel  WR  SF  Deebo Samuel  WR  SF,128.0,127.38,95/163,88.3
J. Meyers  WR  JAC  Hand: Questionable for Week 1 vs. Cleveland  Jakobi Meyers  WR  JAC  Hand: Questionable for Week 1 vs. Cleveland,129.0,128.21,96/164,84.9
M. Lemon  WR  PHI  Makai Lemon  WR  PHI,130.0,128.72,95/167,83.6
M. Golden  WR  GB  Matthew Golden  WR  GB,131.0,129.99,94/171,78.0
.  DST  MIN  Vikings  DST  MIN,132.0,130.04,85/174,91.5
K. Fairbairn  K  HOU  Ka'imi Fairbairn  K  HOU,133.0,130.17,88/169,91.8
.  DST  PHI  Eagles  DST  PHI,134.0,130.67,92/169,93.2
R. Doubs  WR  NE  Romeo Doubs  WR  NE,135.0,131.38,98/169,83.0
B. Mayfield  QB  TB  Baker Mayfield  QB  TB,136.0,133.04,84/170,82.5
W. Marks  RB  HOU  Woody Marks  RB  HOU,137.0,134.88,103/173,77.2
K. Murray  QB  MIN  Kyler Murray  QB  MIN,138.0,134.89,92/170,80.5
X. Worthy  WR  KC  Xavier Worthy  WR  KC,139.0,137.39,103/174,78.1
C. Rodriguez Jr.  RB  JAC  Chris Rodriguez Jr.  RB  JAC,140.0,137.62,105/176,73.1
J. Johnson  TE  NO  Juwan Johnson  TE  NO,141.0,139.62,102/177,77.9
Z. Charbonnet  RB  SEA  Knee - ACL: Physically Unable to Perform. Expected Return - Week 5  Zach Charbonnet  RB  SEA  Knee - ACL: Physically Unable to Perform. Expected Return - Week 5,142.0,141.02,106/180,70.9
J. Coker  WR  CAR  Jalen Coker  WR  CAR,143.0,141.43,110/178,71.7
B. Strange  TE  JAC  Brenton Strange  TE  JAC,144.0,141.58,105/180,75.8
C. Dicker  K  LAC  Undisclosed: Questionable for Week 1 vs. Arizona  Cameron Dicker  K  LAC  Undisclosed: Questionable for Week 1 vs. Arizona,145.0,142.23,100/181,91.2
J. Love  QB  GB  Jordan Love  QB  GB,146.0,142.67,91/180,66.9
.  DST  PIT  Steelers  DST  PIT,147.0,143.05,102/181,87.7
R. Shaheed  WR  SEA  Rashid Shaheed  WR  SEA,148.0,143.81,107/180,69.9
T. Allgeier  RB  ARI  Tyler Allgeier  RB  ARI,149.0,144.97,109/185,59.8
S. Darnold  QB  SEA  Seahawks' Sam Darnold: Idle for preseason action  Sam Darnold  QB  SEA  Seahawks' Sam Darnold: Idle for preseason action,150.0,145.2,90/186,57.5
T. Tracy Jr.  RB  NYG  Neck: Questionable for Week 1 vs. Dallas  Tyrone Tracy Jr.  RB  NYG  Neck: Questionable for Week 1 vs. Dallas,151.0,145.78,109/188,60.4
T. Spears  RB  TEN  Tyjae Spears  RB  TEN,152.0,146.0,113/185,64.0
J. Coleman  RB  DEN  Jonah Coleman  RB  DEN,153.0,147.07,108/191,48.7
T. Shough  QB  NO  Tyler Shough  QB  NO,154.0,147.57,101/184,60.4
.  DST  NE  Patriots  DST  NE,155.0,148.01,107/186,84.2
C. Little  K  JAC  Cam Little  K  JAC,156.0,149.04,107/187,88.5
J. Tyson  WR  NO  Hamstring: Injured Reserve. Expected Return - Week 5  Jordyn Tyson  WR  NO  Hamstring: Injured Reserve. Expected Return - Week 5,157.0,149.82,105/190,49.4
I. Pacheco  RB  DET  Back: Injured Reserve. Expected Return - Week 5  Isiah Pacheco  RB  DET  Back: Injured Reserve. Expected Return - Week 5,158.0,150.86,115/189,61.6
D. Schultz  TE  HOU  Texans' Dalton Schultz: Held out of exhibition games  Dalton Schultz  TE  HOU  Texans' Dalton Schultz: Held out of exhibition games,159.0,151.91,113/189,61.9
H. Henry  TE  NE  Hunter Henry  TE  NE,160.0,152.21,110/190,59.3
.  DST  BAL  Ravens  DST  BAL,161.0,152.4,110/191,78.3
K. Shakir  WR  BUF  Undisclosed: Questionable for Week 1 at Houston  Khalil Shakir  WR  BUF  Undisclosed: Questionable for Week 1 at Houston,162.0,152.78,110/191,49.2
D. Jones  QB  IND  Daniel Jones  QB  IND,163.0,152.96,101/192,46.6
T. Tucker  WR  LV  Tre Tucker  WR  LV,164.0,154.02,118/191,53.5
M. Willis  QB  MIA  Malik Willis  QB  MIA,165.0,154.08,99/193,44.8
