game_date,season,week,home_team,away_team,home_points,away_points,neutral,conference_game,home_margin,total_points,home_win,home_games_before,home_pf_last3,home_pa_last3,home_margin_last3,home_pf_last5,home_pa_last5,home_margin_last5,home_pf_last8,home_pa_last8,home_margin_last8,home_winpct_last5,home_winpct_last8,home_rest_days,away_games_before,away_pf_last3,away_pa_last3,away_margin_last3,away_pf_last5,away_pa_last5,away_margin_last5,away_pf_last8,away_pa_last8,away_margin_last8,away_winpct_last5,away_winpct_last8,away_rest_days,margin_form_gap_3,margin_form_gap_5,margin_form_gap_8,offense_gap_5,defense_gap_5,winpct_gap_5,rest_gap,home_field,history_ready
2025-09-20 23:30:00+00:00,2025,4,Baylor,Arizona State,24.0,27.0,False,True,-3.0,51.0,0,116,38.0,30.0,8.0,38.0,30.2,7.8,37.0,28.75,8.25,0.6,0.75,7.3125,109,30.666666666666668,19.333333333333332,11.333333333333334,33.6,23.2,10.4,33.625,20.0,13.625,0.6,0.75,6.875,-3.333333333333334,-2.6000000000000005,-5.375,4.399999999999999,-7.0,0.0,0.4375,1,True
2025-09-20 23:30:00+00:00,2025,4,East Carolina,BYU,13.0,34.0,False,False,-21.0,47.0,0,110,37.0,9.0,28.0,31.4,16.4,15.0,35.5,19.375,16.125,0.6,0.75,7.0,117,44.0,5.666666666666667,38.333333333333336,37.0,12.6,24.4,32.125,15.625,16.5,0.8,0.75,13.885416666666666,-10.333333333333336,-9.399999999999999,-0.375,-5.600000000000001,-3.799999999999999,-0.20000000000000007,-6.885416666666666,1,True
2025-09-20 23:30:00+00:00,2025,4,Indiana,Illinois,63.0,10.0,False,True,53.0,73.0,1,110,52.0,7.666666666666667,44.333333333333336,47.8,10.0,37.8,40.125,14.125,26.0,0.8,0.75,8.041666666666666,110,45.0,7.333333333333333,37.666666666666664,38.8,13.4,25.4,35.875,17.375,18.5,1.0,0.875,7.020833333333333,6.666666666666671,12.399999999999999,7.5,9.0,3.4000000000000004,-0.19999999999999996,1.020833333333333,1,True
2025-09-20 23:30:00+00:00,2025,4,Louisiana Tech,Southern Miss,30.0,20.0,False,False,10.0,50.0,1,115,26.666666666666668,12.333333333333334,14.333333333333334,23.8,12.8,11.0,22.75,18.75,4.0,0.6,0.5,7.0,112,31.0,25.333333333333332,5.666666666666667,25.4,32.6,-7.2,18.5,36.25,-17.75,0.4,0.25,7.020833333333333,8.666666666666668,18.2,21.75,-1.5999999999999979,19.8,0.19999999999999996,-0.020833333333333037,1,True
2025-09-20 23:30:00+00:00,2025,4,Miami,Florida,26.0,7.0,False,False,19.0,33.0,1,116,40.333333333333336,13.0,27.333333333333332,40.0,24.6,15.4,39.75,24.5,15.25,0.6,0.625,7.125,116,27.0,12.666666666666666,14.333333333333334,29.0,11.4,17.6,26.625,17.375,9.25,0.6,0.625,7.0,12.999999999999998,-2.200000000000001,6.0,11.0,-13.200000000000001,0.0,0.125,1,True
2025-09-20 23:30:00+00:00,2025,4,Vanderbilt,Georgia State,70.0,21.0,False,False,49.0,91.0,1,111,40.0,10.0,30.0,35.6,18.6,17.0,27.375,19.0,8.375,0.8,0.625,6.989583333333333,112,20.0,40.666666666666664,-20.666666666666668,27.8,42.8,-15.0,24.125,39.125,-15.0,0.4,0.25,7.020833333333333,50.66666666666667,32.0,23.375,7.800000000000001,24.199999999999996,0.4,-0.03125,1,True
2025-09-20 23:30:00+00:00,2025,4,Virginia,Stanford,48.0,20.0,False,True,28.0,68.0,1,111,44.666666666666664,19.333333333333332,25.333333333333332,31.6,25.6,6.0,26.25,27.875,-1.625,0.4,0.375,7.3125,109,17.666666666666668,23.333333333333332,-5.666666666666667,21.0,25.6,-4.6,24.375,31.125,-6.75,0.2,0.25,6.875,31.0,10.6,5.125,10.600000000000001,0.0,0.2,0.4375,1,True
2025-09-20 23:30:00+00:00,2025,4,Washington State,Washington,24.0,59.0,False,False,-35.0,83.0,0,110,19.666666666666668,27.333333333333332,-7.666666666666667,21.6,29.8,-8.2,28.75,32.0,-3.25,0.4,0.375,7.166666666666667,113,47.333333333333336,22.0,25.333333333333332,38.8,26.8,12.0,30.375,27.625,2.75,0.6,0.5,13.854166666666666,-33.0,-20.2,-6.0,-17.199999999999996,-3.0,-0.19999999999999996,-6.687499999999999,1,True
2025-09-20 23:45:00+00:00,2025,4,LSU,SE Louisiana,56.0,10.0,False,False,46.0,66.0,1,119,20.0,9.0,11.0,28.2,15.0,13.2,24.25,20.125,4.125,1.0,0.75,7.010416666666667,13,3.3333333333333335,37.0,-33.666666666666664,6.8,38.8,-32.0,11.5,38.125,-26.625,0.0,0.0,21.010416666666668,44.666666666666664,45.2,30.75,21.4,23.799999999999997,1.0,-14.0,1,True
2025-09-21 00:00:00+00:00,2025,4,Texas,Sam Houston,55.0,0.0,False,False,55.0,55.0,1,120,24.0,10.333333333333334,13.666666666666666,25.0,18.0,7.0,24.875,17.875,7.0,0.6,0.625,7.15625,30,21.666666666666668,38.666666666666664,-17.0,23.2,32.0,-8.8,19.875,25.125,-5.25,0.4,0.5,13.834027777777777,30.666666666666664,15.8,12.25,1.8000000000000007,14.0,0.19999999999999996,-6.677777777777777,1,True
