year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion,source_year
2017,postseason,1,NC State,ACC,13.29,9.56,-3.73,908,815,core-v1,2017
2017,postseason,1,USC,Pac-12,11.81,9.33,-2.48,993,948,core-v1,2017
2017,postseason,1,Michigan State,Big Ten,11.8,1.89,-9.91,867,692,core-v1,2017
2017,postseason,1,Miami,ACC,11.43,0.57,-10.86,728,868,core-v1,2017
2017,postseason,1,Michigan,Big Ten,10.7,-5.27,-15.98,840,735,core-v1,2017
2017,postseason,1,Wake Forest,ACC,10.64,8.61,-2.04,830,971,core-v1,2017
2017,postseason,1,Oregon,Pac-12,10.4,3.61,-6.79,755,761,core-v1,2017
2017,postseason,1,Missouri,SEC,10.16,12.26,2.1,682,691,core-v1,2017
2017,postseason,1,Memphis,American Athletic,10.06,9.33,-0.73,778,799,core-v1,2017
2017,postseason,1,South Florida,American Athletic,9.33,1.02,-8.31,854,738,core-v1,2017
2017,postseason,1,Virginia Tech,ACC,8.7,-0.96,-9.66,843,693,core-v1,2017
2017,postseason,1,Iowa State,Big 12,8.03,4.02,-4.01,795,776,core-v1,2017
2017,postseason,1,Duke,ACC,8.0,-4.41,-12.41,899,767,core-v1,2017
2017,postseason,1,Florida State,ACC,7.88,-1.7,-9.58,711,806,core-v1,2017
2017,postseason,1,San Diego State,Mountain West,7.37,0.39,-6.98,704,697,core-v1,2017
2017,postseason,1,Boise State,Mountain West,7.33,3.75,-3.58,904,884,core-v1,2017
2017,postseason,1,Texas,Big 12,7.15,-9.14,-16.3,954,857,core-v1,2017
2017,postseason,1,Ohio,Mid-American,7.14,5.77,-1.37,689,722,core-v1,2017
2017,postseason,1,App State,Sun Belt,7.08,2.56,-4.52,748,727,core-v1,2017
2017,postseason,1,West Virginia,Big 12,6.9,5.87,-1.03,790,822,core-v1,2017
2017,postseason,1,Iowa,Big Ten,6.48,-0.1,-6.58,776,855,core-v1,2017
2017,postseason,1,Stanford,Pac-12,6.25,7.3,1.05,793,885,core-v1,2017
2017,postseason,1,Boston College,ACC,6.19,-2.6,-8.79,900,859,core-v1,2017
2017,postseason,1,South Carolina,SEC,5.95,-1.23,-7.18,708,828,core-v1,2017
2017,postseason,1,Toledo,Mid-American,5.74,8.67,2.94,817,750,core-v1,2017
2017,postseason,1,Northwestern,Big Ten,5.5,-3.54,-9.04,962,847,core-v1,2017
2017,postseason,1,Fresno State,Mountain West,5.09,-0.35,-5.44,782,760,core-v1,2017
2017,postseason,1,Army,FBS Independents,5.0,11.94,6.94,745,605,core-v1,2017
2017,postseason,1,Troy,Sun Belt,4.75,-0.32,-5.07,700,736,core-v1,2017
2017,postseason,1,Georgia Tech,ACC,4.67,5.51,0.84,658,609,core-v1,2017
2017,postseason,1,Florida Atlantic,Conference USA,4.11,7.51,3.41,851,853,core-v1,2017
2017,postseason,1,Indiana,Big Ten,3.95,-2.82,-6.77,786,709,core-v1,2017
2017,postseason,1,Navy,American Athletic,3.75,10.05,6.3,818,695,core-v1,2017
2017,postseason,1,Purdue,Big Ten,3.48,-2.55,-6.03,836,829,core-v1,2017
2017,postseason,1,Texas A&M,SEC,3.37,-0.48,-3.85,808,809,core-v1,2017
2017,postseason,1,Arizona,Pac-12,3.02,11.42,8.4,813,880,core-v1,2017
2017,postseason,1,Kansas State,Big 12,2.5,1.56,-0.94,697,803,core-v1,2017
2017,postseason,1,Arkansas State,Sun Belt,2.38,-0.17,-2.55,841,725,core-v1,2017
2017,postseason,1,Pittsburgh,ACC,2.18,0.53,-1.65,685,700,core-v1,2017
2017,postseason,1,Washington State,Pac-12,1.94,-6.97,-8.91,782,670,core-v1,2017
2017,postseason,1,Utah,Pac-12,1.27,-4.29,-5.56,833,777,core-v1,2017
2017,postseason,1,Texas Tech,Big 12,1.25,2.64,1.39,887,903,core-v1,2017
2017,postseason,1,Houston,American Athletic,1.12,-2.96,-4.08,810,879,core-v1,2017
2017,postseason,1,Florida,SEC,1.06,-3.18,-4.24,660,631,core-v1,2017
