batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
502054,SV,8,4.4,0.154,69.76666666666667,1.6500000000000001,0.0,0.55,0.55,0.0,2025,0.0,1.0,0.0
502054,,37,20.350000000000005,,,6.050000000000001,0.55,3.3,0.0,0.0,2025,0.09090909090909091,0.0,0.0
502671,CH,210,125.39999999999998,0.3055160031610222,83.79099307159355,64.65,16.400000000000002,26.65,12.55,0.55,2026,0.2536736272235112,0.47091932457786123,0.020637898686679177
502671,CS,2,1.1,,,0.0,0.0,0.0,0.0,0.0,2025,,,
502671,CU,103,60.249999999999986,0.3734309886655712,86.87716049382715,19.5,2.2,11.350000000000001,6.4,0.55,2026,0.11282051282051284,0.5638766519823788,0.04845814977973568
502671,FA,2,1.1,0.857,94.4,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
502671,FC,236,131.59999999999997,0.373457155352961,85.63961117861484,57.0,10.9,20.35,12.100000000000001,1.6500000000000001,2026,0.1912280701754386,0.5945945945945946,0.08108108108108109
502671,FF,702,401.8499999999999,0.34634710399121915,85.61921948356809,216.45,28.2,73.1,47.45,3.8500000000000005,2026,0.1302841302841303,0.6491108071135432,0.05266757865937074
502671,FS,80,43.99999999999999,0.25375996541353385,83.06388888888888,25.849999999999998,4.95,14.3,4.4,0.0,2025,0.1914893617021277,0.3076923076923077,0.0
502671,KC,24,13.200000000000001,0.14100000000000001,77.52857142857144,3.8500000000000005,0.0,2.2,0.55,0.0,2025,0.0,0.25,0.0
502671,PO,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
502671,SI,384,225.59999999999997,0.37420257583903554,85.11218917601171,133.75,20.5,55.2,31.3,2.1,2026,0.15327102803738318,0.5670289855072463,0.03804347826086957
502671,SL,373,214.59999999999997,0.31177926287082075,84.6444897959184,78.05,24.650000000000002,26.750000000000004,11.55,0.55,2026,0.3158231902626522,0.4317757009345794,0.020560747663551402
502671,ST,205,116.79999999999998,0.28274304371584696,83.73620689655172,38.1,9.8,14.75,4.95,0.0,2026,0.2572178477690289,0.3355932203389831,0.0
502671,SV,14,7.699999999999999,0.094,84.97500000000001,2.2,0.0,1.6500000000000001,0.0,0.0,2025,0.0,0.0,0.0
502671,,21,13.350000000000001,,,0.0,0.0,0.0,0.0,0.0,2026,,,
506702,CH,9,4.95,0.041,82.85,2.75,1.6500000000000001,1.1,0.0,0.0,2025,0.6000000000000001,0.0,0.0
506702,CU,4,2.2,,73.9,0.55,0.0,0.0,0.0,0.0,2025,0.0,,
506702,FC,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
506702,FF,15,8.25,0.14744444444444446,83.88000000000001,6.049999999999999,0.55,1.6500000000000001,1.1,0.0,2025,0.09090909090909094,0.6666666666666666,0.0
506702,KC,3,1.6500000000000001,0.40822727272727266,95.64999999999999,1.6500000000000001,0.55,1.1,0.55,0.0,2025,0.3333333333333333,0.5,0.0
506702,SI,10,5.5,0.14300000000000002,84.28,3.3,1.1,1.6500000000000001,0.0,0.0,2025,0.33333333333333337,0.0,0.0
506702,SL,8,4.4,0.0,,0.0,0.0,0.0,0.0,0.0,2025,,,
506702,SV,3,1.6500000000000001,,,0.55,0.55,0.0,0.0,0.0,2025,1.0,,
