away_team,home_team,game_start,core_market,core_side,books_reporting,prob_books_up,prob_books_down,prob_books_flat,prob_books_moving,prob_consensus_direction,prob_consensus_pct,prob_market_share_pct,avg_implied_prob_move,median_implied_prob_move,max_abs_implied_prob_move,line_books_up,line_books_down,line_books_flat,line_books_moving,line_consensus_pct,avg_point_move,median_point_move,consensus_strength,prob_direction_label
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,spread,new york yankees,13.0,5.0,2.0,6.0,7.0,1.0,71.42857142857143,38.46153846153847,0.29700683987006843,0.0,1.8497965223825352,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,toward_side
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,total,over,13.0,1.0,4.0,8.0,5.0,-1.0,80.0,30.76923076923077,-0.16959397979420082,0.0,1.2195121951219523,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,away_from_side
new york yankees,los angeles angels,2026-09-03 01:35:00+00:00,total,under,13.0,5.0,3.0,5.0,8.0,1.0,62.5,38.46153846153847,0.05268705365574649,0.0,1.0570824524312905,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,toward_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,moneyline,arizona diamondbacks,13.0,2.0,4.0,7.0,6.0,-1.0,66.66666666666666,30.76923076923077,-0.0893808768639037,0.0,2.380952380952384,0.0,0.0,13.0,0.0,0.0,,,weak,away_from_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,moneyline,philadelphia phillies,13.0,4.0,2.0,7.0,6.0,1.0,66.66666666666666,30.76923076923077,0.00880597723547777,0.0,2.164502164502158,0.0,0.0,13.0,0.0,0.0,,,weak,toward_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,spread,arizona diamondbacks,12.0,5.0,0.0,7.0,5.0,1.0,100.0,41.66666666666667,0.46079479428045017,0.0,2.097902097902093,0.0,0.0,12.0,0.0,0.0,0.0,0.0,medium,toward_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,spread,philadelphia phillies,12.0,0.0,6.0,6.0,6.0,-1.0,100.0,50.0,-0.4252335796502753,-0.1810806895552658,1.736864958749457,0.0,0.0,12.0,0.0,0.0,0.0,0.0,medium,away_from_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,total,over,12.0,0.0,3.0,9.0,3.0,-1.0,100.0,25.0,-0.17597145999173427,0.0,1.2195121951219523,0.0,0.0,12.0,0.0,0.0,0.0,0.0,weak,away_from_side
philadelphia phillies,arizona diamondbacks,2026-09-02 19:40:00+00:00,total,under,12.0,1.0,2.0,9.0,3.0,-1.0,66.66666666666666,16.666666666666664,-0.007577010863158794,0.0,1.0570824524312905,0.0,0.0,12.0,0.0,0.0,0.0,0.0,weak,away_from_side
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,moneyline,cincinnati reds,14.0,1.0,11.0,2.0,12.0,-1.0,91.66666666666666,78.57142857142857,-0.7543868402501266,-0.7869755374451781,1.9762845849802368,0.0,0.0,14.0,0.0,0.0,,,strong,away_from_side
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,moneyline,san diego padres,14.0,12.0,0.0,2.0,12.0,1.0,100.0,85.71428571428571,0.7747526251204808,0.8366520615751716,1.7368649587494511,0.0,0.0,14.0,0.0,0.0,,,strong,toward_side
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,spread,cincinnati reds,13.0,0.0,12.0,1.0,12.0,-1.0,100.0,92.3076923076923,-1.0933188293528668,-1.124606387764282,1.891252955082745,0.0,0.0,13.0,0.0,0.0,0.0,0.0,strong,away_from_side
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,spread,san diego padres,13.0,12.0,0.0,1.0,12.0,1.0,100.0,92.3076923076923,1.1541796215854754,1.1614401858304313,2.2688598979013044,0.0,0.0,13.0,0.0,0.0,0.0,0.0,strong,toward_side
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,total,over,13.0,4.0,4.0,5.0,8.0,0.0,50.0,30.76923076923077,-0.09195793689178958,0.0,1.1614401858304313,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
san diego padres,cincinnati reds,2026-09-02 16:40:00+00:00,total,under,13.0,4.0,4.0,5.0,8.0,0.0,50.0,30.76923076923077,0.16110013675758683,0.0,1.3227513227513257,0.0,0.0,13.0,0.0,0.0,0.0,0.0,weak,mixed_flat
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,moneyline,pittsburgh pirates,14.0,3.0,3.0,8.0,6.0,0.0,50.0,21.428571428571427,0.22496074813631028,0.0,3.6363636363636376,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,moneyline,san francisco giants,14.0,3.0,3.0,8.0,6.0,0.0,50.0,21.428571428571427,-0.19933251038854935,0.0,3.292181069958844,0.0,0.0,14.0,0.0,0.0,,,weak,mixed_flat
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,spread,pittsburgh pirates,13.0,6.0,2.0,5.0,8.0,1.0,75.0,46.15384615384615,0.4987780414149921,0.0,2.8262426046651856,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,toward_side
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,spread,san francisco giants,13.0,3.0,6.0,4.0,9.0,-1.0,66.66666666666666,46.15384615384615,-0.4025844245238757,0.0,2.2293561619404323,0.0,0.0,13.0,0.0,0.0,0.0,0.0,medium,away_from_side
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,total,over,13.0,2.0,9.0,2.0,11.0,-1.0,81.81818181818183,69.23076923076923,-1.8865761713279208,-2.9933225880727554,5.040504050405037,9.0,1.0,3.0,10.0,90.0,0.3076923076923077,0.5,strong,away_from_side
san francisco giants,pittsburgh pirates,2026-09-02 22:40:00+00:00,total,under,13.0,9.0,1.0,3.0,10.0,1.0,90.0,69.23076923076923,2.1712975150564024,2.9933225880727554,4.862093352192365,9.0,1.0,3.0,10.0,90.0,0.3076923076923077,0.5,strong,toward_side
san francisco giants,pittsburgh pirates,2026-09-03 16:35:00+00:00,spread,pittsburgh pirates,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,weak,mixed_flat
