gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
776426,2025-09-07,2025-09-07T17:40:00Z,R,Final,Philadelphia Phillies,143,Miami Marlins,146,4.0,5.0,loanDepot park,4169,Regular Season,1,1.0,1.0,9.0,1.0,,,
776427,2025-09-07,2025-09-07T17:35:00Z,R,Final,Los Angeles Dodgers,119,Baltimore Orioles,110,5.0,2.0,Oriole Park at Camden Yards,2,Regular Season,1,1.0,1.0,7.0,-3.0,,,
776428,2025-09-07,2025-09-07T16:05:00Z,R,Final,Seattle Mariners,136,Atlanta Braves,144,18.0,2.0,Truist Park,4705,Regular Season,1,1.0,1.0,20.0,-16.0,,,
776429,2025-09-07,2025-09-07T17:40:00Z,R,Final,New York Mets,121,Cincinnati Reds,113,2.0,3.0,Great American Ball Park,2602,Regular Season,1,1.0,1.0,5.0,1.0,,,
776430,2025-09-06,2025-09-07T01:38:00Z,R,Final,Athletics,133,Los Angeles Angels,108,17.0,4.0,Angel Stadium,1,Regular Season,1,1.0,1.0,21.0,-13.0,,,
776431,2025-09-06,2025-09-07T00:10:00Z,R,Final,San Diego Padres,135,Colorado Rockies,115,10.0,8.0,Coors Field,19,Regular Season,1,1.0,1.0,18.0,-2.0,,,
776432,2025-09-06,2025-09-06T23:15:00Z,R,Final,Houston Astros,117,Texas Rangers,140,11.0,0.0,Globe Life Field,5325,Regular Season,1,1.0,1.0,11.0,-11.0,,,
776433,2025-09-06,2025-09-06T20:10:00Z,R,Final,Philadelphia Phillies,143,Miami Marlins,146,4.0,2.0,loanDepot park,4169,Regular Season,1,1.0,1.0,6.0,-2.0,,,
776434,2025-09-06,2025-09-06T23:15:00Z,R,Final,Minnesota Twins,142,Kansas City Royals,118,2.0,11.0,Kauffman Stadium,7,Regular Season,1,1.0,1.0,13.0,9.0,,,
776435,2025-09-06,2025-09-06T22:10:00Z,R,Final,Chicago White Sox,145,Detroit Tigers,116,0.0,6.0,Comerica Park,2394,Regular Season,1,1.0,1.0,6.0,6.0,,,
776436,2025-09-06,2025-09-06T17:05:00Z,R,Final,Toronto Blue Jays,141,New York Yankees,147,1.0,3.0,Yankee Stadium,3313,Regular Season,1,1.0,1.0,4.0,2.0,,,
776437,2025-09-06,2025-09-06T23:15:00Z,R,Final,San Francisco Giants,137,St. Louis Cardinals,138,2.0,3.0,Busch Stadium,2889,Regular Season,1,1.0,1.0,5.0,1.0,,,
776438,2025-09-06,2025-09-06T23:05:00Z,R,Final,Cleveland Guardians,114,Tampa Bay Rays,139,3.0,2.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,5.0,-1.0,,,
776439,2025-09-06,2025-09-06T22:40:00Z,R,Final,New York Mets,121,Cincinnati Reds,113,3.0,6.0,Great American Ball Park,2602,Regular Season,1,1.0,1.0,9.0,3.0,,,
776440,2025-09-06,2025-09-06T18:20:00Z,R,Final,Washington Nationals,120,Chicago Cubs,112,2.0,1.0,Wrigley Field,17,Regular Season,1,1.0,1.0,3.0,-1.0,,,
776441,2025-09-06,2025-09-06T22:40:00Z,R,Final,Milwaukee Brewers,158,Pittsburgh Pirates,134,4.0,1.0,PNC Park,31,Regular Season,1,1.0,1.0,5.0,-3.0,,,
776442,2025-09-05,2025-09-06T00:40:00Z,R,Final,San Diego Padres,135,Colorado Rockies,115,0.0,3.0,Coors Field,19,Regular Season,1,2.0,2.0,3.0,3.0,,,
776443,2025-09-06,2025-09-06T23:05:00Z,R,Final,Los Angeles Dodgers,119,Baltimore Orioles,110,3.0,4.0,Oriole Park at Camden Yards,2,Regular Season,1,1.0,1.0,7.0,1.0,,,
776444,2025-09-05,2025-09-06T01:38:00Z,R,Final,Athletics,133,Los Angeles Angels,108,10.0,4.0,Angel Stadium,1,Regular Season,1,1.0,2.0,14.0,-6.0,,,
776445,2025-09-05,2025-09-06T00:15:00Z,R,Final,San Francisco Giants,137,St. Louis Cardinals,138,8.0,2.0,Busch Stadium,2889,Regular Season,1,2.0,2.0,10.0,-6.0,,,
776446,2025-09-05,2025-09-05T23:40:00Z,R,Final,Minnesota Twins,142,Kansas City Royals,118,1.0,2.0,Kauffman Stadium,7,Regular Season,1,1.0,1.0,3.0,1.0,,,
