season,venue,venue_id,games,avg_total_runs,league_runs_per_game,run_factor
2025,Yankee Stadium,3313,101,8.514851485148515,9.071606475716065,0.9386266377341284
2025,loanDepot park,4169,82,8.536585365853659,9.071606475716065,0.9410224516137673
2026,American Family Field,32,73,8.67123287671233,8.913208983631518,0.9728519652839329
2026,American Family Fields of Phoenix,2518,3,9.666666666666666,8.913208983631518,1.0845327069542317
2026,Angel Stadium,1,74,7.95945945945946,8.913208983631518,0.8929959427717276
2026,BayCare Ballpark,2700,5,5.6,8.913208983631518,0.6282810164424514
2026,Busch Stadium,2889,102,9.264705882352942,8.913208983631518,1.0394355051437616
2026,CACTI Park of the Palm Beaches,5000,6,5.0,8.913208983631518,0.5609651932521887
2026,Camelback Ranch,3809,8,10.75,8.913208983631518,1.206075165492206
2026,Charlotte Sports Park,2534,4,4.75,8.913208983631518,0.5329169335895794
2026,Chase Field,15,71,8.788732394366198,8.913208983631518,0.9860345932094812
2026,Citi Field,3289,116,7.448275862068965,8.913208983631518,0.835644701672226
2026,Citizens Bank Park,2681,84,9.821428571428571,8.913208983631518,1.1018959153167993
2026,Clover Park,2856,4,11.5,8.913208983631518,1.2902199444800342
2026,Comerica Park,2394,69,8.014492753623188,8.913208983631518,0.8991702952708996
2026,CoolToday Park,5380,4,8.0,8.913208983631518,0.897544309203502
2026,Coors Field,19,82,10.536585365853659,8.913208983631518,1.1821315291948564
2026,Daikin Park,2392,72,9.305555555555555,8.913208983631518,1.0440185541082403
2026,Ed Smith Stadium,2508,2,12.5,8.913208983631518,1.402412983130472
2026,Estadio Alfredo Harp Helu,5340,2,14.5,8.913208983631518,1.6267990604313476
2026,Fenway Park,3,98,8.938775510204081,8.913208983631518,1.002868386303913
2026,Field of Dreams,5445,1,8.0,8.913208983631518,0.897544309203502
2026,George M. Steinbrenner Field,2523,5,7.0,8.913208983631518,0.7853512705530643
2026,Globe Life Field,5325,69,7.913043478260869,8.913208983631518,0.8877883927991161
2026,Goodyear Ballpark,3834,8,15.0,8.913208983631518,1.6828955797565663
2026,Great American Ball Park,2602,115,8.217391304347826,8.913208983631518,0.9219341002144668
2026,Hohokam Stadium,2507,4,10.0,8.913208983631518,1.1219303865043775
2026,JetBlue Park,4309,5,8.8,8.913208983631518,0.9872987401238523
2026,Journey Bank Ballpark,2735,1,6.0,8.913208983631518,0.6731582319026266
2026,Kauffman Stadium,7,82,9.731707317073171,8.913208983631518,1.0918298151591384
2026,LECOM Park,2526,5,8.6,8.913208983631518,0.9648601323937647
2026,Las Vegas Ballpark,5355,6,17.0,8.913208983631518,1.9072816570574418
2026,Lee Health Sports Complex,2862,4,10.0,8.913208983631518,1.1219303865043775
2026,Nationals Park,3309,73,10.917808219178083,8.913208983631518,1.2249020795123138
2026,Oracle Park,2395,71,8.661971830985916,8.913208983631518,0.971812940422806
2026,Oriole Park at Camden Yards,2,99,9.313131313131313,8.913208983631518,1.0448685013707435
2026,PNC Park,31,82,11.036585365853659,8.913208983631518,1.2382280485200754
2026,Peoria Stadium,2530,9,11.333333333333334,8.913208983631518,1.2715211047049613
2026,Petco Park,2680,69,7.695652173913044,8.913208983631518,0.8633986017881515
2026,Progressive Field,5,99,8.696969696969697,8.913208983631518,0.9757394573538072
2026,Publix Field at Joker Marchant Stadium,2511,3,8.333333333333334,8.913208983631518,0.9349419887536481
2026,Rate Field,4,98,7.979591836734694,8.913208983631518,0.8952546553534931
2026,Roger Dean Chevrolet Stadium,2520,8,7.75,8.913208983631518,0.8694960495408927
2026,Rogers Centre,14,72,8.208333333333334,8.913208983631518,0.9209178589223433
2026,Route 66 Stadium,2722,1,5.0,8.913208983631518,0.5609651932521887
2026,Salt River Fields at Talking Stick,4249,10,15.3,8.913208983631518,1.7165534913516978
2026,Scottsdale Stadium,2532,3,10.666666666666666,8.913208983631518,1.1967257456046694
2026,Sloan Park,4629,6,15.666666666666666,8.913208983631518,1.7576909388568582
2026,Surprise Stadium,2603,7,11.0,8.913208983631518,1.2341234251548154
