overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,sleeper_player_id,sleeper_name,sleeper_team,proj_ppr_points,proj_games,proj_pass_yd,proj_pass_td,proj_pass_int,proj_rush_att,proj_rush_yd,proj_rush_td,proj_rec,proj_rec_yd,proj_rec_td,role_adjustment,replacement_points,vorp,scarcity_multiplier,hulk_v2_score,hulk_v2_position_rank,hulk_v2_rank,hulk_v2_tier
139,60,4,Darius Slayton,WR,NYG,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/otksyfjll5waf0vsczeu","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/otksyfjll5waf0vsczeu",46.85972586779668,50.60850393722042,,,0.0,0.0,0.0,0.0,63.0,37.0,538.0,1.0,19.16401395436803,6149,Darius Slayton,NYG,76.3,18.0,,,,,,,26.0,383.0,2.0,2.0,177.3,-101.00000000000001,1.0,-99.00000000000001,88,212,6
248,96,5,Jack Bech,WR,LV,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/feplgtl0x1svqen9szwv","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/feplgtl0x1svqen9szwv",17.19149801615021,18.566817857442228,,,0.0,0.0,0.0,0.0,11.0,9.0,77.0,0.0,21.284413157674123,12483,Jack Bech,LV,77.9,18.0,,,,1.0,9.0,,30.0,350.0,2.0,0.0,177.3,-99.4,1.0,-99.4,89,213,6
182,76,5,Kendrick Bourne,WR,ARI,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzfa94cmhpcqamrwzdzk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yzfa94cmhpcqamrwzdzk",33.48503877133362,36.16384187304031,,,0.0,0.0,0.0,0.0,53.0,37.0,551.0,0.0,13.790578472052726,4454,Kendrick Bourne,ARI,77.4,18.0,,,,,,,31.0,344.0,2.0,0.0,177.3,-99.9,1.0,-99.9,90,214,6
197,79,5,Calvin Ridley,WR,TEN,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrv8bjm7zdtboyka2jvr","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zrv8bjm7zdtboyka2jvr",27.924541850391584,30.15850519842291,,,0.0,0.0,0.0,0.0,31.0,13.0,242.0,0.0,37.2573246365733,4981,Calvin Ridley,TEN,77.3,18.0,,,,1.0,6.0,,27.0,377.0,2.0,0.0,177.3,-100.00000000000001,1.0,-100.00000000000001,91,215,6
227,52,4,Tank Bigsby,RB,PHI,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vfkdjfpiyrcuzahrmfvn","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vfkdjfpiyrcuzahrmfvn",20.88571428571429,22.55657142857143,,,0.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,0.0,9225,Tank Bigsby,PHI,65.2,18.0,,,,82.0,353.0,3.0,8.0,59.0,,2.0,160.1,-94.89999999999999,1.08,-100.492,55,216,5
256,66,5,Emmett Johnson,RB,KC,2.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avdz4njz1slqn7ktqcuq","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avdz4njz1slqn7ktqcuq",16.0,17.28,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13337,Emmett Johnson,KC,65.2,18.0,,,,67.0,286.0,2.0,12.0,86.0,1.0,2.0,160.1,-94.89999999999999,1.08,-100.492,56,217,5
241,56,5,Ray Davis,RB,BUF,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xibwzhrl6q5xkgh3utug","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xibwzhrl6q5xkgh3utug",18.15714285714286,19.60971428571429,,,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,11575,Ray Davis,BUF,65.1,18.0,,,,73.0,313.0,3.0,9.0,68.0,,2.0,160.1,-95.0,1.08,-100.60000000000001,57,218,5
428,131,5,Zachariah Branch,WR,ATL,4.0,ACT,True,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qwbo8lgyd85dlwnbznsc","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qwbo8lgyd85dlwnbznsc",3.0,3.24,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320,Zachariah Branch,ATL,78.5,18.0,,,,,,,30.0,365.0,2.0,-2.0,177.3,-98.80000000000001,1.0,-100.80000000000001,92,219,6
62,11,3,Aaron Rodgers,QB,PIT,1.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",87.85555555555555,77.31288888888889,,,3322.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,Aaron Rodgers,PIT,177.0,18.0,2700.0,18.0,7.0,21.0,60.0,,,,,6.0,295.72,-118.72000000000003,0.9,-100.84800000000003,29,220,4
170,72,5,Olamide Zaccheaus,WR,ATL,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zsnzd30ysrewgufbv06y","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zsnzd30ysrewgufbv06y",38.0971156439791,41.14488489549744,,,0.0,0.0,0.0,0.0,65.0,39.0,313.0,2.0,10.158655142972428,6271,Olamide Zaccheaus,ATL,75.8,18.0,,,,2.0,12.0,,30.0,326.0,2.0,0.0,177.3,-101.50000000000001,1.0,-101.50000000000001,93,221,6
