overall_rank,position_rank,tier,full_name,position,team,depth_rank,status,rookie_2026,headshot_url,headshot,hulk_score,overall_score,adp,value_vs_adp,pass_yards,pass_td,rush_yards,rush_td,targets,receptions,rec_yards,rec_td,air_yard_share,_name_key,_position,_team,hulk_rank,sleeper_match,sleeper_source_player,sleeper_ppr_adp,sleeper_half_adp,sleeper_std_adp,espn_match,espn_source_player,espn_adp,espn_ppr_room_rank,yahoo_match,yahoo_source_player,yahoo_adp,cbs_match,cbs_source_player,cbs_adp,cbs_rank,adp_source_count,consensus_adp,consensus_adp_median,market_adp_low,market_adp_high,platform_spread,hulk_value_vs_consensus,hulk_value_vs_espn_room,best_value_platform,best_platform_value
310,107,5,Treylon Burks,WR,WAS,5.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bmozbzdxgnnwdniuvgnn","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bmozbzdxgnnwdniuvgnn",12.467421377168844,13.464815087342352,,,0.0,0.0,0.0,0.0,5.0,2.0,30.0,0.0,38.77941457815192,treylon burks,WR,WAS,310,exact_name_pos,Treylon Burks,,678.8,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
311,66,5,Kenny Pickett,QB,CAR,2.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gw6lyiuevyuspfkglnmj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gw6lyiuevyuspfkglnmj",15.155555555555557,13.336888888888888,,,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kenny pickett,QB,CAR,311,exact_name_pos,Kenny Pickett,,665.5,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
312,108,5,Demarcus Robinson,WR,SF,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cokassoz2z7hb4wk2krh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cokassoz2z7hb4wk2krh",12.148821135358924,13.12072682618764,,,0.0,0.0,0.0,0.0,7.0,3.0,39.0,0.0,33.99410567679462,demarcus robinson,WR,SF,312,exact_name_pos,Demarcus Robinson,,679.0,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
313,68,5,Elijah Arroyo,TE,SEA,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m5rdyemjoxl4cuz9yun8","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m5rdyemjoxl4cuz9yun8",13.38052982586143,12.577698036309744,,,0.0,0.0,0.0,0.0,5.0,4.0,42.0,0.0,12.152649129307152,elijah arroyo,TE,SEA,313,exact_name_pos,Elijah Arroyo,,667.7,,exact_name_pos,Elijah Arroyo,169.93,460.0,unmatched,,,unmatched,,,,1,169.93,169.93,169.93,169.93,0.0,-143.07,147.0,ESPN,-143.07
314,109,5,Josh Palmer,WR,BUF,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/woswdfrtxnsfgzsjvsxx","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/woswdfrtxnsfgzsjvsxx",11.525567094309242,12.447612461853982,,,0.0,0.0,0.0,0.0,14.0,7.0,78.0,0.0,19.127835471546213,josh palmer,WR,BUF,314,fuzzy_0.957,Joshua Palmer,,624.0,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
315,69,5,Kylen Granson,TE,TEN,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysbxmdw4da30q3kjb571","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ysbxmdw4da30q3kjb571",12.672996380171718,11.912616597361414,,,0.0,0.0,0.0,0.0,5.0,4.0,30.0,0.0,9.614981900858584,kylen granson,TE,TEN,315,exact_name_pos,Kylen Granson,505.0,,,unmatched,,,,unmatched,,,unmatched,,,,1,505.0,505.0,505.0,505.0,0.0,190.0,,Sleeper,190.0
316,70,5,Jeremy Ruckert,TE,NYJ,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcqcta7r1uee3rqhejdh","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcqcta7r1uee3rqhejdh",12.35122143420016,11.610148148148149,,,0.0,0.0,0.0,0.0,5.0,4.0,23.0,0.0,8.589440504334124,jeremy ruckert,TE,NYJ,316,exact_name_pos,Jeremy Ruckert,,576.0,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
317,110,5,Konata Mumpfield,WR,LA,4.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cehkowkvb4aujslmppbj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cehkowkvb4aujslmppbj",10.70676123933048,11.56330213847692,,,0.0,0.0,0.0,0.0,13.0,5.0,50.0,0.0,18.437652350498546,konata mumpfield,WR,LA,317,exact_name_pos,Konata Mumpfield,,678.2,,unmatched,,,,unmatched,,,unmatched,,,,0,,,,,,,,,
318,111,5,Kyle Williams,WR,NE,5.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkicyhizq6sm86wr5osk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkicyhizq6sm86wr5osk",10.525134770665662,11.367145552318917,,,0.0,0.0,0.0,0.0,5.0,3.0,20.0,0.0,29.83721231486678,kyle williams,WR,NE,318,exact_name_pos,Kyle Williams,222.1,683.8,195.2,unmatched,,,,unmatched,,,unmatched,,,,1,222.1,222.1,222.1,222.1,0.0,-95.9,,Sleeper,-95.9
319,72,5,Brashard Smith,RB,KC,3.0,ACT,False,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xnf4x6b9a2yunsc0gaej","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xnf4x6b9a2yunsc0gaej",10.357142857142858,11.185714285714289,,,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,brashard smith,RB,KC,319,exact_name_pos,Brashard Smith,226.3,669.4,182.4,exact_name_pos,Brashard Smith,170.25,326.0,unmatched,,,unmatched,,,,2,198.275,198.275,170.25,226.3,56.05000000000001,-120.725,7.0,Sleeper,-92.69999999999999
